Characteristic,Overall (N=4500),Non-SSI (N=4174),SSI (N=326),P-value,Statistical Test
Age (years),58.0 [49.0 - 67.0],58.0 [49.0 - 67.0],59.0 [50.0 - 68.0],0.203,Mann-Whitney U
Body Mass Index (kg/m²),24.6 [21.7 - 27.4],24.6 [21.7 - 27.3],24.9 [21.5 - 27.7],0.318,Mann-Whitney U
Preoperative Albumin (g/dL),3.5 [3.1 - 3.9],3.5 [3.1 - 3.9],3.4 [2.9 - 3.8],< 0.001,Mann-Whitney U
Preoperative Hematocrit (%),37.8 [34.7 - 41.1],37.8 [34.6 - 41.0],38.3 [35.3 - 41.3],0.142,Mann-Whitney U
Operative Duration (minutes),172.0 [127.0 - 214.0],169.0 [125.0 - 211.0],205.0 [168.2 - 238.0],< 0.001,Mann-Whitney U
Estimated Blood Loss (mL),248.0 [123.0 - 376.0],246.0 [122.0 - 375.0],271.0 [146.5 - 391.2],0.051,Mann-Whitney U
  Sex: Male,2318 (51.5%),2143 (51.3%),175 (53.7%),0.449,Pearson Chi-Square
  Sex: Female,2182 (48.5%),2031 (48.7%),151 (46.3%),,
Diabetes Mellitus,935 (20.8%),853 (20.4%),82 (25.2%),0.051,Pearson Chi-Square
Chronic Kidney Disease,476 (10.6%),439 (10.5%),37 (11.3%),0.706,Pearson Chi-Square
Active Smoking History,803 (17.8%),724 (17.3%),79 (24.2%),0.002,Pearson Chi-Square
Emergency Surgical Acuity,1013 (22.5%),932 (22.3%),81 (24.8%),0.327,Pearson Chi-Square
  ASA Physical Status: 1,534 (11.9%),505 (12.1%),29 (8.9%),0.025,Pearson Chi-Square
  ASA Physical Status: 2,2062 (45.8%),1927 (46.2%),135 (41.4%),,
  ASA Physical Status: 3,1571 (34.9%),1441 (34.5%),130 (39.9%),,
  ASA Physical Status: 4,333 (7.4%),301 (7.2%),32 (9.8%),,
  Surgical Wound Class: 1,1357 (30.2%),1317 (31.6%),40 (12.3%),< 0.001,Pearson Chi-Square
  Surgical Wound Class: 2,2396 (53.2%),2241 (53.7%),155 (47.5%),,
  Surgical Wound Class: 3,528 (11.7%),453 (10.9%),75 (23.0%),,
  Surgical Wound Class: 4,219 (4.9%),163 (3.9%),56 (17.2%),,
  Surgical Approach: Open,2906 (64.6%),2701 (64.7%),205 (62.9%),0.546,Pearson Chi-Square
  Surgical Approach: Laparoscopic,1594 (35.4%),1473 (35.3%),121 (37.1%),,
Intraoperative Hypothermia (<36°C),1068 (23.7%),959 (23.0%),109 (33.4%),< 0.001,Pearson Chi-Square
  Antibiotic Prophylaxis Timing: Compliant_Within_60min,3753 (83.4%),3519 (84.3%),234 (71.8%),< 0.001,Pearson Chi-Square
  Antibiotic Prophylaxis Timing: Late_After_Incision,584 (13.0%),509 (12.2%),75 (23.0%),,
  Antibiotic Prophylaxis Timing: None_Given,163 (3.6%),146 (3.5%),17 (5.2%),,
